Time,Price_SEK_kWh,Solar_watt,Solar_kWh_15min,Pin_pred_W,Solar_kWh,Pin_pred_kWh,Boiler_kWh_per_15min,Load_minus_Boiler_kWh
2025-12-17 00:00:00+01:00,0.53805,0.0,0.0,2669.2406041666663,0.0,0.6673101510416666,0.2714917730722526,0.395818377969414
2025-12-17 00:15:00+01:00,0.5271,0.0,0.0,2811.1606718749995,0.0,0.7027901679687498,0.3708111041287189,0.3319790638400309
2025-12-17 00:30:00+01:00,0.52042,0.0,0.0,2953.0807395833326,0.0,0.7382701848958332,0.2926441622647238,0.4456260226311094
2025-12-17 00:45:00+01:00,0.51834,0.0,0.0,3095.0008072916658,0.0,0.7737502018229164,0.29685462507589555,0.4768955767470209
2025-12-17 01:00:00+01:00,0.51484,0.0,0.0,3236.920874999999,0.0,0.8092302187499997,0.29260857999392836,0.5166216387560714
2025-12-17 01:15:00+01:00,0.51112,0.0,0.0,3223.1152447916656,0.0,0.8057788111979164,0.19052495127504554,0.6152538599228708
2025-12-17 01:30:00+01:00,0.50641,0.0,0.0,3209.309614583332,0.0,0.802327403645833,0.13093640255009106,0.6713910010957419
2025-12-17 01:45:00+01:00,0.50554,0.0,0.0,3195.5039843749983,0.0,0.7988759960937496,0.14889115285367335,0.6499848432400762
2025-12-17 02:00:00+01:00,0.49973,0.0,0.0,3181.698354166665,0.0,0.7954245885416662,0.063152494383728,0.7322720941579381
2025-12-17 02:15:00+01:00,0.50116,0.0,0.0,3178.051673730913,0.0,0.7945129184327283,0.04299323178506375,0.7515196866476646
2025-12-17 02:30:00+01:00,0.49963,0.0,0.0,3174.404993295161,0.0,0.7936012483237903,0.04137646235579842,0.7522247859679919
2025-12-17 02:45:00+01:00,0.49952,0.0,0.0,3170.7583128594088,0.0,0.7926895782148522,0.042630102003642985,0.7500594762112092
2025-12-17 03:00:00+01:00,0.49733,0.0,0.0,3167.111632423657,0.0,0.7917779081059142,0.0174912276867031,0.7742866804192111
2025-12-17 03:15:00+01:00,0.49831,0.0,0.0,3131.6218126329595,0.0,0.7829054531582399,0.00869478202792957,0.7742106711303103
2025-12-17 03:30:00+01:00,0.49984,0.0,0.0,3096.1319928422627,0.0,0.7740329982105657,0.008527672434729813,0.7655053257758359
2025-12-17 03:45:00+01:00,0.50006,0.0,0.0,3060.642173051566,0.0,0.7651605432628914,0.008970862325440195,0.7561896809374512
2025-12-17 04:00:00+01:00,0.49787,0.0,0.0,3025.1523532608685,0.0,0.7562880883152171,0.00418472920461445,0.7521033591106027
2025-12-17 04:15:00+01:00,0.50225,0.0,0.0,3033.4370929951683,0.0,0.758359273248792,0.002603859744990893,0.7557554135038012
2025-12-17 04:30:00+01:00,0.5097,0.0,0.0,3041.721832729468,0.0,0.760430458182367,0.002082833636915604,0.7583476245454513
2025-12-17 04:45:00+01:00,0.51342,0.0,0.0,3050.006572463767,0.0,0.7625016431159417,0.00432133970856102,0.7581803034073807
2025-12-17 05:00:00+01:00,0.50893,0.0,0.0,3058.291312198067,0.0,0.7645728280495168,0.008552452944748027,0.7560203751047687
2025-12-17 05:15:00+01:00,0.51769,0.0,0.0,3026.922687122584,0.0,0.756730671780646,0.0067758809957498495,0.7499547907848961
2025-12-17 05:30:00+01:00,0.53378,0.0,0.0,2995.554062047102,0.0,0.7488885155117755,0.02007443700667881,0.7288140785050967
2025-12-17 05:45:00+01:00,0.55764,0.0,0.0,2964.1854369716198,0.0,0.741046359242905,0.02825772389192471,0.7127886353509802
2025-12-17 06:00:00+01:00,0.54725,0.0,0.0,2932.8168118961366,0.0,0.7332042029740342,0.03847682498482089,0.6947273779892134
2025-12-17 06:15:00+01:00,0.56378,0.0,0.0,2998.861392178984,0.0,0.7497153480447459,0.0023916369156041293,0.7473237111291418
2025-12-17 06:30:00+01:00,0.58687,0.0,0.0,3064.90597246183,0.0,0.7662264931154575,0.005513981177899212,0.7607125119375583
2025-12-17 06:45:00+01:00,0.60253,0.0,0.0,3130.9505527446768,0.0,0.7827376381861691,0.07156071205221616,0.711176926133953
2025-12-17 07:00:00+01:00,0.60461,0.0,0.0,3196.9951330275235,0.0,0.7992487832568809,0.22766362871888282,0.5715851545379981
2025-12-17 07:15:00+01:00,0.61348,0.0,0.0,3234.662059107417,0.0,0.8086655147768542,0.2497729268366728,0.5588925879401814
2025-12-17 07:30:00+01:00,0.62311,0.0,0.0,3272.3289851873096,0.0,0.8180822462968274,0.193627915907711,0.6244543303891164
2025-12-17 07:45:00+01:00,0.63986,0.0,0.0,3309.995911267203,0.0,0.8274989778168008,0.16313931071645418,0.6643596671003467
2025-12-17 08:00:00+01:00,0.76619,0.0,0.0,3347.662837347096,0.0,0.836915709336774,0.2625685655737705,0.5743471437630034
2025-12-17 08:15:00+01:00,0.7663,0.0,0.0,3356.5076696769893,0.0,0.8391269174192473,0.3633197653309047,0.47580715208834257
2025-12-17 08:30:00+01:00,0.78819,0.0,0.0,3365.352502006882,0.0,0.8413381255017205,0.3041229392835459,0.5372151862181747
